Date,HSI,SSE,FCHI,FTSE,GDAXI,DJI,IXIC
2019-01-10,3384.000832154299,371.95538956181554,5552.91593796853,8886.684070366726,12619.84167408105,24001.919921875,6986.06982421875
2019-01-11,3402.2186436440084,376.2550565661222,5503.383827446029,8823.447257233784,12531.606835960876,23995.94921875,6971.47998046875
2019-01-14,3354.712682564277,375.00218238757947,5458.176356822252,8808.562817573547,12441.020869588014,23909.83984375,6905.919921875
2019-01-15,3421.1832326799617,379.82961119204623,5491.11971340212,8877.30115711689,12496.03001439257,24065.58984375,7023.830078125
2019-01-16,3429.815596304252,380.74686049683436,5492.3396850633435,8833.782047054265,12480.00964949606,24207.16015625,7034.68994140625
2019-01-17,3411.533045894784,378.8686888079683,5464.665696880547,8807.2937271354,12445.140311083524,24370.099609375,7084.4599609375
2019-01-18,3454.1388328172616,383.15168806898123,5554.9699112644885,9047.624993050704,12766.064220041502,24706.349609375,7157.22998046875
2019-01-21,3467.088969272677,385.15579443765074,5532.511427635036,8959.64064917044,12656.93140615651,24555.4150390625,7088.794921875
2019-01-22,3442.201959239028,379.51895315792353,5511.31238631194,8897.110805357457,12608.702835265314,24404.48046875,7020.35986328125
2019-01-23,3442.319462545331,379.16908372857125,5500.619163488271,8866.845951581314,12581.72432383732,24575.619140625,7025.77001953125
2019-01-24,3457.037870750937,381.6366011792341,5548.2973124302225,8920.722300052643,12675.298348539509,24553.240234375,7073.4599609375
2019-01-25,3513.6994743370437,383.30528559839877,5572.824695698859,8934.786206179764,12763.649582198937,24737.19921875,7164.85986328125
2019-01-28,3515.183066278694,384.94263647321344,5579.360738368705,8911.887155155884,12794.382025455125,24528.220703125,7085.68017578125
2019-01-29,3509.187152279773,384.6587529960669,5632.9140862111235,8993.512370922661,12823.132215911988,24579.9609375,7028.2900390625
2019-01-30,3523.2221727787096,382.5870378244253,5688.820300492691,9079.92136797309,12786.638609089423,25014.859375,7183.080078125
2019-01-31,3562.9089439308154,384.866657928469,5735.462672609137,9141.219721322297,12835.266746249981,24999.669921875,7281.740234375
2019-02-01,3559.824569596414,390.7925370297233,5746.805220498471,9203.078172713285,12801.305203329306,25063.890625,7263.8701171875
2019-02-04,3567.7679204017613,389.1242132929085,5727.856781471985,9198.749554896087,12803.083631688727,25239.369140625,7347.5400390625
2019-02-05,3566.3059201478595,390.0056169893602,5813.451602938585,9352.879151928355,13000.74484681245,25411.51953125,7402.080078125
2019-02-06,3565.0160913285786,391.40941091236164,5795.15784723137,9294.34964603855,12921.420524468063,25390.30078125,7375.27978515625
2019-02-07,3563.163355789146,391.76842438226345,5666.568037354911,9175.171367787,12527.584233033936,25169.529296875,7288.35009765625
2019-02-08,3561.4471501592766,392.64982807871513,5625.888643639162,9156.620626162621,12366.945120606571,25106.330078125,7298.2001953125
2019-02-11,3586.755949601763,393.53123177516676,5678.5159674994065,9222.758579180343,12473.206864015665,25053.109375,7307.89990234375
2019-02-12,3590.0306245177926,393.4231705532292,5703.078996828699,9176.057098594087,12549.153516881866,25425.759765625,7414.6201171875
2019-02-13,3631.1822401959785,401.7522954747071,5751.51014937961,9270.43702680606,12657.65860911156,25543.26953125,7420.3798828125
2019-02-14,3622.286368013299,402.35819230710325,5702.898680139158,9253.02134335041,12492.582495040842,25439.390625,7426.9501953125
2019-02-15,3555.5605365827796,396.1461683406885,5820.7088075805805,9261.790718040893,12763.520265098778,25883.25,7472.41015625
2019-02-18,3612.14222080729,406.7212381713541,5839.432359542115,9317.166988492012,12765.870972999253,25887.28515625,7479.590087890625
2019-02-19,3597.131520067225,407.2965054105516,5837.560332900903,9278.449699864375,12792.934668319183,25891.3203125,7486.77001953125
2019-02-20,3632.594352475598,408.60338891753764,5893.772466902621,9441.498712370696,12933.267779105343,25954.439453125,7489.06982421875
2019-02-21,3647.8672082802805,409.47590805802594,5895.692303223477,9349.961916153843,12961.26282117155,25850.630859375,7459.7099609375
2019-02-22,3672.176055106682,417.35145274782536,5916.344949724618,9361.88563634752,12996.482915882953,26031.810546875,7527.5400390625
2019-02-25,3690.2580056317943,441.1134870166641,5934.090244413179,9385.917627449497,13049.689726689714,26091.94921875,7554.4599609375
2019-02-26,3665.931253971355,439.7936896166356,5955.12135933619,9387.355895218381,13119.00663648732,26057.98046875,7549.2998046875
2019-02-27,3663.9282124368183,440.92187660197663,5953.3222857925,9422.745940708555,13087.693050276257,25985.16015625,7554.509765625
2019-02-28,3648.050015862797,439.8543235958932,5963.822285934293,9422.25512413506,13105.016322332085,25916.0,7532.52978515625
2019-03-01,3670.480564604425,447.3337622674297,5988.342245612353,9426.956892778748,13195.122942547316,26026.3203125,7595.35009765625
2019-03-04,3689.8249027883844,451.51309525347455,6013.958057263226,9445.783034538965,13187.714202204254,25819.650390625,7577.56982421875
2019-03-05,3689.5169219919762,455.4295345967839,6005.9860754002575,9466.664924289567,13174.844790803732,25806.630859375,7576.35986328125
2019-03-06,3698.7747810489072,462.5442136290729,5980.111082292395,9467.548549175262,13102.25043289503,25673.4609375,7505.919921875
2019-03-07,3666.451966859575,462.8914230933876,5960.129566217074,9435.275527368067,13031.249558033072,25473.23046875,7421.4599609375
